baslik,oda_sayisi,tarih,m2brut,m2net,bulundugu_kat,kat_sayisi,banyo_sayisi,isitma,balkon,esyali,site_icinde,bina_yasi,ilce,mahalle,fiyat,url
Bahçesehir Park Gölet de Manzaralı Kiralık 4+1 Loft Daire,4+1,2022-7-20,397,269,5,19,3,Yerden Isıtma,Var,Hayır,Evet,0,Başakşehir,Bahçeşehir 1. Kısım Mh.,35.000,https://sahibinden.com/ilan/emlak-konut-kiralik-bahcesehir-park-golet-de-manzarali-kiralik-4-plus1-loft-daire-919212389/detay
"ESENYURT BELEDİYESİNE YAKIN GENİŞ, KULLANIŞLI 1+1 DAİRE",1+1,2022-7-20,80,70,4,4,1,Doğalgaz (Kombi),Var,Hayır,Hayır,4,Esenyurt,İncirtepe Mh.,3.800,https://sahibinden.com/ilan/emlak-konut-kiralik-esenyurt-belediyesine-yakin-genis-kullanisli-1-plus1-daire-1034299206/detay
ŞİŞLİ FULYADA METROYA VE METROBÜS YAKIN EŞYALI DAİRE,2+1,2022-7-20,100,99,,5,1,Doğalgaz (Kombi),Var,Evet,Hayır,26,Şişli,Fulya Mah.,13.000,https://sahibinden.com/ilan/emlak-konut-kiralik-sisli-fulyada-metroya-ve-metrobus-yakin-esyali-daire-1025836671/detay
ÇALIŞANA ÖĞRENCİYE KİRALIK SIFIR EŞYALI 1+1 DAİRE,1+1,2022-7-20,60,50,,4,1,Doğalgaz (Kombi),Var,Evet,Hayır,5,Ataşehir,Kayışdağı Mh.,5.000,https://sahibinden.com/ilan/emlak-konut-kiralik-calisana-ogrenciye-kiralik-sifir-esyali-1-plus1-daire-1039908223/detay
Beylikdüzü Kavakli Mahallesi 3+2 Çatı Dubleks Ferah Daire,3+2,2022-7-20,150,130,5,5,2,Doğalgaz (Kombi),Var,Hayır,Hayır,4,Beylikdüzü,Kavaklı Mh.,8.000,https://sahibinden.com/ilan/emlak-konut-kiralik-beylikduzu-kavakli-mahallesi-3-plus2-cati-dubleks-ferah-daire-1039686082/detay
ÜSKÜDAR BULGURLUDA EŞYALI 2+1 GENİŞ KULLANIŞLI,2+1,2022-7-20,130,110,1,5,1,Doğalgaz (Kombi),Var,Evet,Hayır,16,Üsküdar,Bulgurlu Mah.,7.500,https://sahibinden.com/ilan/emlak-konut-kiralik-uskudar-bulgurluda-esyali-2-plus1-genis-kullanisli-840907830/detay
Sahibinden Kiralık Dumankaya Modern Vadi Bahçe Katı,2+1,2022-7-20,110,90,,16,1,Merkezi (Pay Ölçer),Var,Hayır,Hayır,5,Başakşehir,Bahçeşehir 2. Kısım Mh.,7.250,https://sahibinden.com/ilan/emlak-konut-kiralik-sahibinden-kiralik-dumankaya-modern-vadi-bahce-kati-1039886788/detay
SANCAKTEPE ALİCE VİLLAGE DE GÖLET MANZARALI BAHÇE DUBLEKSİ,3+1,2022-7-20,227,190,,4,3,Doğalgaz (Kombi),Var,Hayır,Evet,11,Sancaktepe,Kemal Türkler Mh.,16.500,https://sahibinden.com/ilan/emlak-konut-kiralik-sancaktepe-alice-village-de-golet-manzarali-bahce-dubleksi-1039907965/detay
Çekmeköy sitede EŞYALI BÜYÜK DUBLEKS DAİRE ABONELİKLER AÇIKTIR,3+2,2022-7-20,280,210,9,10,2,Doğalgaz (Kombi),Var,Evet,Evet,5,Çekmeköy,Cumhuriyet Mah.,16.000,https://sahibinden.com/ilan/emlak-konut-kiralik-cekmekoy-sitede-esyali-buyuk-dubleks-daire-abonelikler-aciktir-1039875575/detay
HİLL İSTANBUL KONAKLARINDA SAHİBİNDEN KİRALIK SIFIR DAİRE,2+1,2022-7-20,120,95,2,15,1,Merkezi (Pay Ölçer),Yok,Hayır,Evet,3,Esenyurt,Piri Reis Mh.,5.000,https://sahibinden.com/ilan/emlak-konut-kiralik-hill-istanbul-konaklarinda-sahibinden-kiralik-sifir-daire-1039804835/detay
0 BİNADA 2+1 ARAKAT FULL EŞYALI DAİRE!,2+1,2022-7-20,85,75,2,5,1,Doğalgaz (Kombi),Yok,Evet,Hayır,0,Üsküdar,Mimar Sinan Mh.,14.000,https://sahibinden.com/ilan/emlak-konut-kiralik-0-binada-2-plus1-arakat-full-esyali-daire-1039905477/detay
WEN/MG FİNANSŞEHİR SİNPAŞ PALAS'DA 1+1 GÜNCEL KİRALIK DAİRE,1+1,2022-7-20,58,40,6,20,1,Merkezi (Pay Ölçer),Yok,Hayır,Evet,5,Ümraniye,Finanskent Mh.,8.250,https://sahibinden.com/ilan/emlak-konut-kiralik-wen-mg-finanssehir-sinpas-palas-da-1-plus1-guncel-kiralik-daire-1039907558/detay
esenyurt pinar mahallesinde kiralık daire,2+1,2022-7-20,90,80,,5,1,Doğalgaz (Kombi),Yok,Hayır,Hayır,5,Esenyurt,Pınar Mh.,2.750,https://sahibinden.com/ilan/emlak-konut-kiralik-esenyurt-pinar-mahallesinde-kiralik-daire-1039871182/detay
BEYKOZDA KIZ ÖĞRENCİLER İÇİN APART ODA,3+1,2022-7-20,130,120,2,3,1,Doğalgaz (Kombi),Var,Evet,Hayır,16,Beykoz,İncirköy Mh.,3.000,https://sahibinden.com/ilan/emlak-konut-kiralik-beykozda-kiz-ogrenciler-icin-apart-oda-1039905272/detay
KİRALIK 2+1BELEDİYE YANINDA MEMUR İÇİN,2+1,2022-7-20,100,90,1,7,1,Doğalgaz (Kombi),Yok,Hayır,Hayır,31,Bahçelievler,Siyavuşpaşa Mh.,6.000,https://sahibinden.com/ilan/emlak-konut-kiralik-kiralik-2-plus1belediye-yaninda-memur-icin-1039905890/detay
CADDE ÜZERİNDE 4+1 KLİMALI KOMBİLİ KİRALIK DAİRE BOŞ EŞYASIZ,4+1,2022-7-20,185,160,4,5,2,Doğalgaz (Kombi),Var,Hayır,Hayır,16,Esenler,Menderes Mah.,9.000,https://sahibinden.com/ilan/emlak-konut-kiralik-cadde-uzerinde-4-plus1-klimali-kombili-kiralik-daire-bos-esyasiz-1016827974/detay
1+1eşyalı kiralık daire,1+1,2022-7-20,60,50,,2,1,Klima,Var,Evet,Hayır,5,Şişli,Feriköy Mh.,5.500,https://sahibinden.com/ilan/emlak-konut-kiralik-1-plus1esyali-kiralik-daire-1032395184/detay
KİRALIK EŞYALI DAİRE ELEKTİRİK SU ISINMA KİRYA DAHİL,1+1,2022-7-20,55,50,,5,1,Merkezi,Yok,Evet,Hayır,21,Küçükçekmece,Fevzi Çakmak Mh.,4.000,https://sahibinden.com/ilan/emlak-konut-kiralik-kiralik-esyali-daire-elektirik-su-isinma-kirya-dahil-1039904865/detay
'ATMACA' BEŞİKTAŞ NÜZHETİYE'DE SIFIRLANMIŞ 3+1 EMSALSİZ DAİRE,3+1,2022-7-20,95,85,1,6,1,Doğalgaz (Kombi),Var,Hayır,Hayır,31,Beşiktaş,Muradiye Mah.,15.000,https://sahibinden.com/ilan/emlak-konut-kiralik-atmaca-besiktas-nuzhetiye-de-sifirlanmis-3-plus1-emsalsiz-daire-1039905285/detay
EMİRGAN'DA KİRALIK 4+1 TERS DUBLEKS - DAİRE BOŞTUR,4+1,2022-7-20,135,110,1,5,2,Doğalgaz (Kombi),Yok,Hayır,Hayır,16,Sarıyer,Emirgan Mah.,16.000,https://sahibinden.com/ilan/emlak-konut-kiralik-emirgan-da-kiralik-4-plus1-ters-dubleks-daire-bostur-1033411662/detay
KİRALIK FUL EŞYALI 3+1 METRO METROBÜSE YAKIN DAİRE........,3+1,2022-7-20,135,130,4,4,1,Doğalgaz (Kombi),Var,Evet,Hayır,21,Bahçelievler,Hürriyet Mh.,7.000,https://sahibinden.com/ilan/emlak-konut-kiralik-kiralik-ful-esyali-3-plus1-metro-metrobuse-yakin-daire-1034251899/detay
kiralık daire Beylikdüzü Gürpınar 2 +1,2+1,2022-7-20,85,80,1,3,1,Doğalgaz (Kombi),Var,Hayır,Hayır,26,Beylikdüzü,Gürpınar Mh.,3.000,https://sahibinden.com/ilan/emlak-konut-kiralik-kiralik-daire-beylikduzu-gurpinar-2-plus1-1039904286/detay
"GARAJ1071 "" DEN DORE LİFE DA KİRALIK 1+1 DAİRE",1+1,2022-7-20,70,60,2,8,1,Doğalgaz (Kombi),Yok,Hayır,Hayır,5,Sancaktepe,Emek Mah.,5.500,https://sahibinden.com/ilan/emlak-konut-kiralik-garaj1071-den-dore-life-da-kiralik-1-plus1-daire-1039904889/detay
atakent arenapark karşısı 1+1 kiralık,1+1,2022-7-20,70,57,7,9,1,Merkezi,Var,Evet,Hayır,11,Küçükçekmece,Atakent Mah.,6.500,https://sahibinden.com/ilan/emlak-konut-kiralik-atakent-arenapark-karsisi-1-plus1-kiralik-1039903709/detay
Ara kat daire,2+1,2022-7-20,90,80,1,5,1,Doğalgaz (Kombi),Var,Hayır,Hayır,0,Arnavutköy,Anadolu Mah.,3.000,https://sahibinden.com/ilan/emlak-konut-kiralik-ara-kat-daire-1039791675/detay
Doğu Ataşehir'de Sakin Muhitte Yeşillikler İçinde,2+1,2022-7-20,73,68,4,8,1,Merkezi (Pay Ölçer),Var,Hayır,Evet,26,Ataşehir,Atatürk Mh.,8.000,https://sahibinden.com/ilan/emlak-konut-kiralik-dogu-atasehir-de-sakin-muhitte-yesillikler-icinde-1039872543/detay
